Model;Subcategories;Based_On
Simple Delay;Mono, Stereo;Line 6 Original
Mod/Chorus Echo;Mono, Stereo;Line 6 Original
Dual Delay;Stereo;Line 6 Original
Multitap 4;Stereo;Line 6 Original
Multitap 6;Stereo;Line 6 Original
Ping Pong;Stereo;Line 6 Original
Sweep Echo;Mono, Stereo;Line 6 Original
Ducked Delay;Mono, Stereo;TC Electronic 2290
Reverse Delay;Mono, Stereo;Line 6 Original
Vintage Digital;Mono, Stereo;Line 6 Original
Vintage Swell;Mono, Stereo;Line 6 Original
Pitch Echo;Mono, Stereo;Line 6 Original
Transistor Tape;Mono, Stereo;Maestro Echoplex EP-3
Cosmos Echo;Mono, Stereo;Roland RE-201 Space Echo
Harmony Delay;Stereo;Line 6 Original
Bucket Brigade;Mono, Stereo;BOSS DM-2
Adriatic Delay;Mono, Stereo;BOSS DM-2 w/ Adrian Mod
Adriatic Swell;Mono, Stereo;Line 6 Original
Elephant Man;Mono, Stereo;Electro-Harmonix Deluxe Memory Man
Multi Pass;Mono, Stereo;Line 6 Original
Ping Pong;Legacy;Line 6 Original
Dynamic;Legacy;TC Electronic 2290
Stereo;Legacy;Line 6 Original
Digital;Legacy;Line 6 Original
Dig w/Mod;Legacy;Line 6 Original
Reverse;Legacy;Line 6 Original
Lo Res;Legacy;Line 6 Original
Tube Echo;Legacy;Maestro Echoplex EP-1
Tape Echo;Legacy;Maestro Echoplex EP-3
Sweep Echo;Legacy;Line 6 Original
Echo Platter;Legacy;Binson EchoRec
Analog Echo;Legacy;BOSS DM-2
Analog w/Mod;Legacy;Electro-Harmonix Deluxe Memory Man
Auto-Volume Echo;Legacy;Line 6 Original
Multi-Head;Legacy;Roland RE-101 Space Echo
