Model;Subcategories;Based_On
Kinky Boost;Mono, Stereo;Xotic EP Booster
Deranged Master;Mono, Stereo;Dallas Rangemaster Treble Booster
Minotaur;Mono, Stereo;Klon Centaur
Teemah!;Mono, Stereo;Paul Cochrane Timmy Overdrive
Compulsive Drive;Mono, Stereo;Fulltone OCD
Valve Driver;Mono, Stereo;Chandler Tube Driver
Top Secret OD;Mono, Stereo;DOD OD-250
Scream 808;Mono, Stereo;Ibanez TS808 Tube Screamer
Hedgehog D9;Mono, Stereo;MAXON SD9 Sonic Distortion
Stupor OD;Mono, Stereo;BOSS SD-1 Overdrive
Deez One Vintage;Mono, Stereo;BOSS DS-1 Distortion (Made-in-Japan)
Deez One Mod;Mono, Stereo;BOSS DS-1 Distortion (Keeley modded)
Vermin Dist;Mono, Stereo;Pro Co RAT
KWB;Mono, Stereo;Benadrian Kowloon Walled Bunny Distortion
Arbitrator Fuzz;Mono, Stereo;Arbiter FuzzFace
Triangle Fuzz;Mono, Stereo;Electro-Harmonix Big Muff Pi
Industrial Fuzz;Mono, Stereo;Z.Vex Fuzz Factory
Tycoctavia Fuzz;Mono, Stereo;Tycobrahe Octavia
Thrifter Fuzz;Mono, Stereo;Line 6 Original
Wringer Fuzz;Mono, Stereo;Garbage's modded BOSS FZ-2
Megaphone;Mono, Stereo;Megaphone
Bitcrusher;Mono, Stereo;Line 6 Original
Obsidian 7000;Mono, Stereo;Darkglass Electronics Microtubes B7K Ultra
Clawthorn Drive;Mono, Stereo;Wounded Paw Battering Ram
Tube Drive;Legacy;Chandler Tube Driver
Screamer;Legacy;Ibanez Tube Screamer
Overdrive;Legacy;DOD Overdrive/Preamp 250
Classic Dist;Legacy;ProCo RAT
Heavy Dist;Legacy;BOSS Metal Zone
Colordrive;Legacy;Colorsound Overdriver
Buzz Saw;Legacy;Maestro Fuzz Tone
Facial Fuzz;Legacy;Arbiter Fuzz Face
Jumbo Fuzz;Legacy;Vox Tone Bender
Fuzz Pi;Legacy;Electro-Harmonix Big Muff Pi
Jet Fuzz;Legacy;Roland Jet Phaser
L6 Drive;Legacy;Colorsound Overdriver (modded)
L6 Distortion;Legacy;Line 6 Original
Sub Oct Fuzz;Legacy;PAiA Roctave Divider
Octave Fuzz;Legacy;Tycobrahe Octavia
