Model;Subcategories;Based_On
Deluxe Comp;Mono, Stereo;Line 6 Original
Red Squeeze;Mono, Stereo;MXR Dyna Comp
Kinky Comp;Mono, Stereo;Xotic SP Compressor
LA Studio Comp;Mono, Stereo;Teletronix LA-2A
3-Band Comp;Mono, Stereo;Line 6 Original
Noise Gate;Mono, Stereo;Line 6 Original
Hard Gate;Mono, Stereo;Line 6 Original
Autoswell;Mono, Stereo;Line 6 Original
Tube Comp;Legacy;Teletronix LA-2A
Red Comp;Legacy;MXR Dyna Comp
Blue Comp;Legacy;BOSS CS-1
Blue Comp Treb;Legacy;BOSS CS-1 (Treble switch on)
Vetta Comp;Legacy;Line 6 Original
Vetta Juice;Legacy;Line 6 Original
Boost Comp;Legacy;MXR Micro Amp
