Model;Subcategories;Based_On
Pitch Wham;Mono, Stereo;Digitech Whammy
Twin Harmony;Mono, Stereo;Eventide H3000
Simple Pitch;Mono, Stereo;Line 6 Original
Dual Pitch;Mono, Stereo;Line 6 Original
3 OSC Synth;Stereo;Line 6 Original
3 Note Generator;Mono, Stereo;Line 6 Original
4 OSC Generator;Mono, Stereo;Line 6 Original
Bass Octaver;Legacy;EBS OctaBass
Smart Harmony;Legacy;Eventide H3000
Octi Synth;Legacy;Line 6 Original
Synth O Matic;Legacy;Line 6 Original
Attack Synth;Legacy;Korg X911 Guitar Synth
Synth String;Legacy;Roland GR700 Guitar Synth
Growler;Legacy;Line 6 Original
