Model;Subcategories;Based_On
Glitz;Mono, Stereo;Line 6 Original
Ganymede;Mono, Stereo;Line 6 Original
Searchlights;Mono, Stereo;Line 6 Original
Plateaux;Mono, Stereo;Line 6 Original
Double Tank;Mono, Stereo;Line 6 Original
Plate;Legacy;Line 6 Original
Room;Legacy;Line 6 Original
Chamber;Legacy;Line 6 Original
Hall;Legacy;Line 6 Original
Echo;Legacy;Line 6 Original
Tile;Legacy;Line 6 Original
Cave;Legacy;Line 6 Original
Ducking;Legacy;Line 6 Original
Octo;Legacy;Line 6 Original
'63 Spring;Legacy;Line 6 Original
Spring;Legacy;Line 6 Original
Particle Verb;Legacy;Line 6 Original
